ProblemID,Replication,SourceDir,TieMode
Ta100_10_1,1,Ta100x10,numpy_quicksort
Ta100_10_1,2,Ta100x10,numpy_quicksort
Ta100_10_1,3,Ta100x10,numpy_quicksort
Ta100_10_1,4,Ta100x10,numpy_quicksort
Ta100_10_1,5,Ta100x10,numpy_quicksort
Ta100_10_10,1,Ta100x10,numpy_quicksort
Ta100_10_10,2,Ta100x10,numpy_quicksort
Ta100_10_10,3,Ta100x10,numpy_quicksort
Ta100_10_10,4,Ta100x10,numpy_quicksort
Ta100_10_10,5,Ta100x10,numpy_quicksort
Ta100_10_2,1,Ta100x10,numpy_quicksort
Ta100_10_2,2,Ta100x10,numpy_quicksort
Ta100_10_2,3,Ta100x10,numpy_quicksort
Ta100_10_2,4,Ta100x10,numpy_quicksort
Ta100_10_2,5,Ta100x10,numpy_quicksort
Ta100_10_3,1,Ta100x10,numpy_quicksort
Ta100_10_3,2,Ta100x10,numpy_quicksort
Ta100_10_3,3,Ta100x10,numpy_quicksort
Ta100_10_3,4,Ta100x10,numpy_quicksort
Ta100_10_3,5,Ta100x10,numpy_quicksort
Ta100_10_4,1,Ta100x10,numpy_quicksort
Ta100_10_4,2,Ta100x10,numpy_quicksort
Ta100_10_4,3,Ta100x10,numpy_quicksort
Ta100_10_4,4,Ta100x10,numpy_quicksort
Ta100_10_4,5,Ta100x10,numpy_quicksort
Ta100_10_5,1,Ta100x10,numpy_quicksort
Ta100_10_5,2,Ta100x10,numpy_quicksort
Ta100_10_5,3,Ta100x10,numpy_quicksort
Ta100_10_5,4,Ta100x10,numpy_quicksort
Ta100_10_5,5,Ta100x10,numpy_quicksort
Ta100_10_6,1,Ta100x10,numpy_quicksort
Ta100_10_6,2,Ta100x10,numpy_quicksort
Ta100_10_6,3,Ta100x10,numpy_quicksort
Ta100_10_6,4,Ta100x10,numpy_quicksort
Ta100_10_6,5,Ta100x10,numpy_quicksort
Ta100_10_7,1,Ta100x10,numpy_quicksort
Ta100_10_7,2,Ta100x10,numpy_quicksort
Ta100_10_7,3,Ta100x10,numpy_quicksort
Ta100_10_7,4,Ta100x10,numpy_quicksort
Ta100_10_7,5,Ta100x10,numpy_quicksort
Ta100_10_8,1,Ta100x10,numpy_quicksort
Ta100_10_8,2,Ta100x10,numpy_quicksort
Ta100_10_8,3,Ta100x10,numpy_quicksort
Ta100_10_8,4,Ta100x10,numpy_quicksort
Ta100_10_8,5,Ta100x10,numpy_quicksort
Ta100_10_9,1,Ta100x10,numpy_quicksort
Ta100_10_9,2,Ta100x10,numpy_quicksort
Ta100_10_9,3,Ta100x10,numpy_quicksort
Ta100_10_9,4,Ta100x10,numpy_quicksort
Ta100_10_9,5,Ta100x10,numpy_quicksort
Ta100_20_1,1,Ta100x20,numpy_quicksort
Ta100_20_1,2,Ta100x20,numpy_quicksort
Ta100_20_1,3,Ta100x20,numpy_quicksort
Ta100_20_1,4,Ta100x20,numpy_quicksort
Ta100_20_1,5,Ta100x20,numpy_quicksort
Ta100_20_10,1,Ta100x20,numpy_quicksort
Ta100_20_10,2,Ta100x20,numpy_quicksort
Ta100_20_10,3,Ta100x20,numpy_quicksort
Ta100_20_10,4,Ta100x20,numpy_quicksort
Ta100_20_10,5,Ta100x20,numpy_quicksort
Ta100_20_2,1,Ta100x20,numpy_quicksort
Ta100_20_2,2,Ta100x20,numpy_quicksort
Ta100_20_2,3,Ta100x20,numpy_quicksort
Ta100_20_2,4,Ta100x20,numpy_quicksort
Ta100_20_2,5,Ta100x20,numpy_quicksort
Ta100_20_3,1,Ta100x20,numpy_quicksort
Ta100_20_3,2,Ta100x20,numpy_quicksort
Ta100_20_3,3,Ta100x20,numpy_quicksort
Ta100_20_3,4,Ta100x20,numpy_quicksort
Ta100_20_3,5,Ta100x20,numpy_quicksort
Ta100_20_4,1,Ta100x20,numpy_quicksort
Ta100_20_4,2,Ta100x20,numpy_quicksort
Ta100_20_4,3,Ta100x20,numpy_quicksort
Ta100_20_4,4,Ta100x20,numpy_quicksort
Ta100_20_4,5,Ta100x20,numpy_quicksort
Ta100_20_5,1,Ta100x20,numpy_quicksort
Ta100_20_5,2,Ta100x20,numpy_quicksort
Ta100_20_5,3,Ta100x20,numpy_quicksort
Ta100_20_5,4,Ta100x20,numpy_quicksort
Ta100_20_5,5,Ta100x20,numpy_quicksort
Ta100_20_6,1,Ta100x20,numpy_quicksort
Ta100_20_6,2,Ta100x20,numpy_quicksort
Ta100_20_6,3,Ta100x20,numpy_quicksort
Ta100_20_6,4,Ta100x20,numpy_quicksort
Ta100_20_6,5,Ta100x20,numpy_quicksort
Ta100_20_7,1,Ta100x20,numpy_quicksort
Ta100_20_7,2,Ta100x20,numpy_quicksort
Ta100_20_7,3,Ta100x20,numpy_quicksort
Ta100_20_7,4,Ta100x20,numpy_quicksort
Ta100_20_7,5,Ta100x20,numpy_quicksort
Ta100_20_8,1,Ta100x20,numpy_quicksort
Ta100_20_8,2,Ta100x20,numpy_quicksort
Ta100_20_8,3,Ta100x20,numpy_quicksort
Ta100_20_8,4,Ta100x20,numpy_quicksort
Ta100_20_8,5,Ta100x20,numpy_quicksort
Ta100_20_9,1,Ta100x20,numpy_quicksort
Ta100_20_9,2,Ta100x20,numpy_quicksort
Ta100_20_9,3,Ta100x20,numpy_quicksort
Ta100_20_9,4,Ta100x20,numpy_quicksort
Ta100_20_9,5,Ta100x20,numpy_quicksort
Ta100_5_1,1,Ta100x5,numpy_quicksort
Ta100_5_1,2,Ta100x5,numpy_quicksort
Ta100_5_1,3,Ta100x5,numpy_quicksort
Ta100_5_1,4,Ta100x5,numpy_quicksort
Ta100_5_1,5,Ta100x5,numpy_quicksort
